序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别？,2、您的年级是？,3、您会仔细阅读各软件、平台的隐私条款吗？,4、您会连接公共免费Wi-Fi吗？,5、在公共设备登陆私人账号会检查是否退出吗？,6、在网站或软件请求你提供真实信息时，你是否会真实填写？,7、您会定期修改账号密码吗？,8、是否会在一段时间内常收到同一类型的骚扰电话？,9、收到骚扰电话的类型？,10、有无社交账号被盗经历？,11、您认为大数据推送属于侵犯隐私吗？,12、您认为部分软件要求获取定位、访问通讯录等权限，会泄露隐私吗？,13、您是否会同意软件使用获取定位、访问通讯录等权限？,14、认为自己个人信息隐私受到侵害后，您会采取什么措施？,15、您对于“个人信息泄露状况和隐私权保护情况”还有什么其他看法吗？
91,2021/4/19 0:02,55秒,微信,"ZJJ[未知,,]",183.157.162.74(浙江-杭州),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
92,2021/4/19 0:26,145秒,微信,"施雪光[男,河北,秦皇岛]",223.104.102.246(河北-秦皇岛),男,其他,会,看情况，需要时会,会,会，我愿意真实填写,不会,有,保险推销,无,不属于,不会,同意，我认为问题不大,请求法律援助,无
93,2021/4/19 9:23,63秒,微信,"贫僧法号  八戒[男,内蒙古,包头]",223.104.178.65(内蒙古-包头),男,其他,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,房地产┋保险推销,有,属于,不会,同意，我，莫得选择,请求法律援助,(空)
94,2021/4/19 9:49,57秒,微信,"超级凶嗷呜～[男,河北,承德]",139.214.246.113(吉林-长春),男,大二,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,向网络经营者寻求帮助,(空)
95,2021/4/19 11:17,92秒,微信,"小明[男,柏林,]",218.69.61.194(天津-天津),男,大二,不会,看情况，需要时会,不会,会，我愿意真实填写,不会,有,房地产┋保险推销,有,属于,会,同意，我，莫得选择,向网络经营者寻求帮助┋用自己的手段报复披露信息者,我觉得这些问题提的很好
96,2021/4/19 11:21,54秒,微信,"葡萄丕[女,浙江,杭州]",183.157.162.77(浙江-杭州),女,大二,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产,有,属于,会,不同意，保护隐私更重要,不采取任何措施,(空)
97,2021/4/19 13:45,73秒,微信,"Pura Vida[男,浙江,杭州]",183.157.162.70(浙江-杭州),男,大二,会,不会,会,不会，我怕泄露个人信息,不会,有,课外班┋房地产┋保险推销,有,属于,会,同意，我，莫得选择,不采取任何措施,(空)
98,2021/4/21 18:22,69秒,微信,"白朔胡言[女,浙江,杭州]",183.157.162.212(浙江-杭州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,有,房地产┋保险推销,无,属于,会,同意，我，莫得选择,不采取任何措施,(空)
99,2021/4/22 14:19,63秒,微信,"Sa姨_Hsu[女,浙江,宁波]",218.205.55.112(浙江-杭州),女,大四,会,不会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,不同意，保护隐私更重要,请求法律援助,(空)
100,2021/4/22 14:19,45秒,微信,"  [女,,]",223.104.72.224(广东-湛江),女,大一,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
101,2021/4/22 14:24,110秒,微信,"Eastlin F[男,,]",202.86.130.70(澳门-未知),男,大三,不会,会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,不会,同意，我，莫得选择,请求法律援助,(空)
102,2021/4/22 14:26,57秒,微信,"GY[女,广东,广州]",117.136.79.97(广东-佛山),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
103,2021/4/22 14:26,36秒,微信,"虚票票票票票[女,广东,广州]",183.157.162.78(浙江-杭州),女,大三,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,请求法律援助,(空)
104,2021/4/22 14:29,50秒,微信,"DARKkai[男,苏黎世,]",182.93.18.165(澳门-未知),男,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,我没有收到过骚扰电话,(跳过),无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
105,2021/4/22 14:30,63秒,微信,"池鱼[女,迪拜,]",116.22.165.71(广东-广州),女,其他,不会,不会,会,不会，我怕泄露个人信息,不会,有,课外班┋房地产,有,属于,会,不同意，保护隐私更重要,请求法律援助,无
106,2021/4/22 14:30,79秒,微信,"今日食乜嘢.[女,英格兰,剑桥]",223.104.91.71(广西-南宁),女,大一,会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,会,有,其他,有,属于,会,同意，我，莫得选择,其他,无
107,2021/4/22 14:36,63秒,微信,"旻子[女,,]",183.157.162.81(浙江-杭州),女,大二,不会,看情况，需要时会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
108,2021/4/22 14:42,39秒,微信,"Yu@[男,广东,珠海]",59.78.63.42(上海-上海),男,大一,会,会,不会,不会，我怕泄露个人信息,会,有,房地产┋保险推销,无,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
109,2021/4/22 14:45,61秒,微信,"长一样zyy[男,广东,广州]",222.205.46.184(浙江-杭州),男,大三,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,不采取任何措施,(空)
110,2021/4/22 15:02,335秒,微信,"Cara[女,广东,珠海]",113.104.33.15(广东-河源),女,大二,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,我没有收到过骚扰电话,(跳过),无,属于,会,同意，我，莫得选择,向网络经营者寻求帮助,无
111,2021/4/22 16:32,106秒,微信,"钱冠俊[女,浙江,杭州]",115.233.210.122(浙江-杭州),女,其他,不会,会,会,不会，我怕泄露个人信息,会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,不同意，保护隐私更重要,请求法律援助,无
112,2021/4/22 16:38,43秒,微信,"Zwhy[男,浙江,嘉兴]",223.104.165.249(浙江-杭州),男,大一,会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
113,2021/4/22 16:41,28秒,微信,"风风火火cxt[未知,,]",223.104.159.184(浙江-杭州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
114,2021/4/22 16:50,38秒,微信,"小二傻子²º²¹[男,,]",183.157.162.78(浙江-杭州),男,大四,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,不采取任何措施,(空)
115,2021/4/22 19:26,30秒,微信,"飞来青云[男,,]",117.136.55.124(天津-天津),男,大一,不会,会,不会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,请求法律援助,(空)
116,2021/4/22 22:46,50秒,微信,"RQ[女,广东,广州]",223.104.246.66(浙江-杭州),女,大三,不会,不会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,不同意，保护隐私更重要,不采取任何措施,(空)
117,2021/4/23 10:52,50秒,微信,"畔海河滨[男,浙江,宁波]",222.205.46.185(浙江-杭州),男,大四,不会,看情况，需要时会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
118,2021/4/23 19:47,55秒,微信,"晚苍丶枉过[未知,,]",223.104.246.19(浙江-杭州),男,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班,无,不属于,不会,同意，我，莫得选择,不采取任何措施,(空)
119,2021/4/23 19:48,33秒,微信,"Petrichor[男,,]",183.157.162.75(浙江-杭州),男,大三,不会,会,会,不会，我怕泄露个人信息,会,有,课外班┋房地产┋保险推销,有,不属于,不会,同意，我，莫得选择,不采取任何措施,(空)
120,2021/4/23 19:49,45秒,微信,"F.S.[女,,]",183.157.162.70(浙江-杭州),女,大三,不会,会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,不会,同意，我，莫得选择,不采取任何措施,(空)
121,2021/4/23 19:53,51秒,微信,"噔噔噔噔噔[女,浙江,杭州]",218.205.55.227(浙江-杭州),女,大一,不会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
122,2021/4/23 19:54,60秒,微信,"太空猪哎[未知,浙江,宁波]",36.18.124.50(浙江-杭州),男,大四,不会,看情况，需要时会,会,会，我愿意真实填写,不会,有,课外班,无,不属于,不会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,(空)
123,2021/4/23 19:58,50秒,手机提交,直接访问,183.157.162.221(浙江-杭州),男,大二,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,不采取任何措施,认识现状但无能为力
124,2021/4/23 20:05,76秒,手机提交,直接访问,112.17.247.42(浙江-未知),男,大二,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,向网络经营者寻求帮助┋不采取任何措施,(空)
125,2021/4/23 20:06,46秒,微信,"啦啦啦[女,浙江,杭州]",183.157.162.238(浙江-杭州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我认为问题不大,请求法律援助,(空)
126,2021/4/23 20:08,45秒,微信,"dominatttttt[女,浙江,杭州]",1.86.45.191(陕西-西安),女,大一,会,不会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,无
127,2021/4/23 20:35,61秒,微信,"НОИОЯ[男,,]",122.235.96.130(浙江-杭州),男,大四,不会,会,会,会，我愿意真实填写,不会,有,其他〖金融〗,无,属于,会,同意，我，莫得选择,不采取任何措施,(空)
128,2021/4/23 20:36,21秒,微信,"Yu[男,,]",125.33.161.155(北京-北京),男,大一,会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产┋保险推销,无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
129,2021/4/23 20:36,32秒,微信,"一丈见方[未知,浙江,台州]",223.104.165.204(浙江-杭州),女,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,向网络经营者寻求帮助,(空)
130,2021/4/23 20:36,38秒,微信,"背着蜗牛环游世界[女,浙江,台州]",59.64.111.252(北京-北京),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
131,2021/4/23 20:36,62秒,微信,"白嫖大王[未知,,]",211.138.116.149(浙江-杭州),女,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,向网络经营者寻求帮助┋不采取任何措施,(空)
132,2021/4/23 20:36,65秒,微信,"CheNIiA[女,浙江,台州]",223.104.159.139(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，我愿意真实填写,不会,有,课外班┋房地产,无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
133,2021/4/23 20:37,49秒,微信,"Gatsby[未知,上海,奉贤]",210.51.42.144(上海-上海),男,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,我没有收到过骚扰电话,(跳过),无,属于,会,同意，我认为问题不大,请求法律援助,(空)
134,2021/4/23 20:37,53秒,微信,"...[女,浙江,台州]",223.104.159.70(浙江-杭州),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,不采取任何措施,⑤
135,2021/4/23 20:37,36秒,微信,"快走清秋[未知,,]",223.104.38.22(北京-北京),男,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
136,2021/4/23 20:37,40秒,微信,"Lionel[男,浙江,台州]",112.17.236.142(浙江-未知),男,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
137,2021/4/23 20:37,60秒,微信,"ETiNg[未知,,]",36.23.54.236(浙江-杭州),女,大一,会,不会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,向网络经营者寻求帮助┋其他,(空)
138,2021/4/23 20:38,41秒,微信,"haozi0[男,浙江,台州]",114.214.223.36(安徽-合肥),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我认为问题不大,不采取任何措施,(空)
139,2021/4/23 20:38,55秒,微信,"fyy[未知,,]",223.104.165.229(浙江-杭州),女,大一,不会,会,会,不会，我怕泄露个人信息,不会,有,课外班┋房地产,无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,无
140,2021/4/23 20:38,40秒,微信,"w[未知,,]",112.17.237.161(浙江-温州),女,大一,不会,看情况，需要时会,不会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
141,2021/4/23 20:39,93秒,微信,"Hanabi[男,浙江,台州]",112.21.43.149(江苏-南京),男,大一,不会,不会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我认为问题不大,请求法律援助,无
142,2021/4/23 20:39,35秒,微信,"十月凌寒[女,Kagoshima-ken,Kagoshima-shi]",183.195.45.0(上海-上海),女,大一,不会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,不采取任何措施,(空)
143,2021/4/23 20:39,44秒,微信,"栗子[未知,浙江,台州]",183.246.26.118(浙江-杭州),女,大一,不会,会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,不会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
144,2021/4/23 20:39,41秒,微信,"K[女,浙江,台州]",112.16.164.239(浙江-宁波),女,大一,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
145,2021/4/23 20:39,216秒,微信,"小丛[女,浙江,台州]",223.104.244.9(浙江-杭州),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,不会,同意，我认为问题不大,向网络经营者寻求帮助,(空)
146,2021/4/23 20:39,52秒,微信,"K.[未知,浙江,台州]",223.104.20.202(湖北-武汉),女,大一,会,不会,会,不会，我怕泄露个人信息,不会,有,其他〖没接〗,有,属于,会,同意，我，莫得选择,不采取任何措施,(空)
147,2021/4/23 20:40,54秒,微信,"mol[男,,]",221.176.157.244(河南-开封),男,大一,不会,看情况，需要时会,不会,不会，我怕泄露个人信息,不会,有,房地产┋保险推销,有,不属于,不会,同意，我认为问题不大,用自己的手段报复披露信息者,无
148,2021/4/23 20:40,72秒,微信,"Y^ω^C[女,浙江,台州]",36.28.136.186(浙江-杭州),女,大一,不会,不会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,不同意，保护隐私更重要,请求法律援助,(空)
149,2021/4/23 20:40,39秒,微信,"荏苒[女,,]",223.104.194.158(山东-东营),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产,无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,无
150,2021/4/23 20:40,65秒,微信,"我不是本人[女,湖南,长沙]",175.11.30.16(湖南-长沙),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产┋保险推销,有,属于,会,同意，我，莫得选择,不采取任何措施,无
151,2021/4/23 20:40,94秒,微信,"Narcissus[女,浙江,台州]",180.160.220.89(上海-上海),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,会,有,课外班┋房地产┋保险推销┋其他〖奢侈品回收 澳门赌场〗,无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,。
152,2021/4/23 20:40,35秒,微信,"飞天铁骑[女,浙江,台州]",223.104.122.49(湖北-孝感),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
153,2021/4/23 20:40,59秒,微信,"，[女,浙江,台州]",117.136.1.39(天津-天津),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,不采取任何措施,(空)
154,2021/4/23 20:41,32秒,微信,"cc[女,California,Citrus Heights]",223.104.244.242(浙江-杭州),女,大一,不会,不会,不会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
155,2021/4/23 20:41,50秒,微信,"🌫[女,,]",112.17.236.134(浙江-未知),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产,无,属于,会,不同意，保护隐私更重要,向网络经营者寻求帮助,(空)
156,2021/4/23 20:41,41秒,微信,"吃韭菜[未知,浙江,台州]",112.17.247.186(浙江-未知),女,大一,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,无
157,2021/4/23 20:41,59秒,微信,"🌼[未知,,]",36.17.241.231(浙江-杭州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,用自己的手段报复披露信息者,(空)
158,2021/4/23 20:41,54秒,微信,"KiSshYu![女,,]",223.104.246.147(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
159,2021/4/23 20:41,20秒,微信,"一个正经人[男,浙江,台州]",60.223.108.46(山西-晋中),男,大一,会,会,会,会，我愿意真实填写,不会,有,课外班┋房地产┋保险推销,无,属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,(空)
160,2021/4/23 20:42,56秒,微信,"yy[未知,,]",112.17.247.6(浙江-未知),女,大一,不会,不会,会,不会，我怕泄露个人信息,不会,有,课外班┋房地产┋保险推销,有,不属于,会,同意，我，莫得选择,向网络经营者寻求帮助,️
161,2021/4/23 20:42,44秒,微信,"江西烦要减肥[男,浙江,台州]",111.0.247.27(浙江-杭州),女,大一,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,房地产┋保险推销,有,属于,会,不同意，保护隐私更重要,不采取任何措施,(空)
162,2021/4/23 20:42,119秒,微信,"只剩盐[女,浙江,台州]",36.19.6.118(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，我愿意真实填写,不会,有,课外班┋房地产┋保险推销,有,属于,会,同意，我认为问题不大,向网络经营者寻求帮助,无
163,2021/4/23 20:42,15秒,微信,"Yooojun[女,浙江,台州]",223.104.165.192(浙江-杭州),女,大一,不会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,不同意，保护隐私更重要,请求法律援助,(空)
164,2021/4/23 20:43,36秒,微信,"xx[女,浙江,台州]",115.200.173.159(浙江-杭州),其他,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
165,2021/4/23 20:43,46秒,微信,"ruy[男,江苏,南京]",112.86.204.134(江苏-南京),男,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,房地产┋保险推销,无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,无
166,2021/4/23 20:44,38秒,微信,"Настя[女,浙江,台州]",39.155.141.167(北京-北京),女,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋保险推销,有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
167,2021/4/23 20:45,84秒,微信,"W[女,浙江,杭州]",36.28.41.245(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
168,2021/4/23 20:46,51秒,微信,"东来拾秋[女,浙江,台州]",112.17.241.86(浙江-未知),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
169,2021/4/23 20:47,68秒,微信,"废人[未知,,]",223.104.244.126(浙江-杭州),女,大一,不会,不会,不会,会，我愿意真实填写,不会,我没有收到过骚扰电话,(跳过),无,属于,会,同意，我，莫得选择,向网络经营者寻求帮助┋不采取任何措施,(空)
170,2021/4/23 20:48,98秒,微信,"墉人方自扰h🍎[女,浙江,台州]",223.104.244.233(浙江-杭州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,有,课外班┋其他,无,属于,会,同意，我，莫得选择,其他〖询问身边的人有没有问题〗,无
171,2021/4/23 20:50,44秒,微信,"西飞[未知,,]",223.104.38.20(北京-北京),男,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,请求法律援助,(空)
172,2021/4/23 20:51,37秒,微信,"九月显灵事件[未知,浙江,台州]",223.104.211.225(上海-上海),女,大一,不会,看情况，需要时会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,不采取任何措施,(空)
173,2021/4/23 21:01,49秒,微信,"咬一口啵啵桃[未知,,]",36.18.233.182(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，我愿意真实填写,不会,有,课外班,无,属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,无
174,2021/4/23 21:02,36秒,微信,"呼[未知,克莱尔,]",112.17.247.177(浙江-未知),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
175,2021/4/23 21:03,43秒,微信,"Komorebi[男,,]",223.104.162.9(浙江-温州),男,大一,不会,不会,会,不会，我怕泄露个人信息,不会,有,保险推销,有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
176,2021/4/23 21:03,54秒,微信,"芋头宝宝[女,浙江,台州]",39.144.219.20(重庆-重庆),女,大一,不会,会,会,会，我愿意真实填写,不会,有,课外班┋房地产┋保险推销,有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
177,2021/4/23 21:04,65秒,微信,"CX330[未知,,]",117.136.40.34(广东-东莞),男,大一,会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,会,有,课外班┋房地产┋保险推销,无,不属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者┋不采取任何措施,无
178,2021/4/23 21:09,44秒,微信,"100[未知,,]",223.104.150.121(江苏-扬州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,有,课外班┋房地产┋保险推销,无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
179,2021/4/23 21:11,32秒,微信,"醋酸重度爱好者[女,昆士兰,凯恩斯]",211.138.116.192(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产┋保险推销,有,属于,会,同意，我，莫得选择,不采取任何措施,(空)
180,2021/4/23 21:12,44秒,微信,"星痕[男,浙江,台州]",117.136.116.128(安徽-合肥),男,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
181,2021/4/23 21:16,64秒,微信,"发夹杯[未知,,]",112.17.240.99(浙江-未知),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,有,课外班┋房地产┋保险推销,无,属于,会,同意，我，莫得选择,不采取任何措施,(空)
182,2021/4/23 21:18,51秒,微信,"big1+[女,浙江,台州]",36.112.181.9(北京-北京),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,无
183,2021/4/23 21:19,350秒,微信,"拉面莫果嘞[女,浙江,台州]",117.136.75.118(福建-厦门),女,大一,不会,看情况，需要时会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,不会,同意，我，莫得选择,不采取任何措施,(空)
